Season,Week,Team,Player,Position,PlayerID,GSISID,percentile,pass_att,pass_comp,pass_td,pass_int,pass_yards,pass_longest,rush_att,design_rushes,scrambles,kneels,rush_td,design_rush_td,scramble_td,rush_yards,design_rush_yards,scramble_rush_yards,kneel_rush_yards,rush_longest,targets,catches,rec_td,rec_yards,rec_longest,pass_rush_td,rec_rush_td,pass_rush_yards,rec_rush_yards,fumble,fantasy_pts,fantasy_pts_ppr,fantasy_pts_dk,fantasy_pts_fd
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.48,33.0,22.0,1.0,0.0,238.0,34.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,38.0,18.0,15.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,283.0,38.0,0.0,20.6,20.64,22.04,21.32
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.49,33.0,22.0,2.0,0.0,240.0,34.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,38.0,18.0,16.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,284.0,38.0,0.0,20.8,20.82,22.28,21.52
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.5,33.0,22.0,2.0,0.0,241.0,35.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,39.0,19.0,16.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,287.0,39.0,0.0,21.02,21.06,22.52,21.7
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.51,34.0,22.0,2.0,0.0,243.0,35.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,40.0,19.0,17.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,288.0,40.0,0.0,21.24,21.24,22.74,21.88
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.52,34.0,22.0,2.0,0.0,245.0,36.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,40.0,20.0,17.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,290.0,41.0,0.0,21.46,21.4696,23.0,22.1
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.53,34.0,23.0,2.0,0.0,247.0,36.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,41.0,20.0,17.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,292.0,41.0,0.0,21.66,21.68,23.2094,22.36
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.54,34.0,23.0,2.0,1.0,249.0,36.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,42.0,21.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,294.0,42.0,0.0,21.8692,21.88,23.44,22.58
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.55,34.0,23.0,2.0,1.0,251.0,37.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,43.0,21.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,296.0,43.0,0.0,22.08,22.08,23.66,22.78
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.56,35.0,23.0,2.0,1.0,252.0,37.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,43.0,22.0,19.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,298.0,43.0,0.0,22.34,22.36,23.92,23.0
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.57,35.0,23.0,2.0,1.0,254.0,38.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,44.0,22.0,19.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,300.0,44.0,0.0,22.58,22.6,24.1286,23.22
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.58,35.0,23.0,2.0,1.0,256.0,38.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,44.420000000001,23.0,20.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,302.0,45.0,0.0,22.8,22.8,24.32,23.46
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.59,35.0,23.0,2.0,1.0,258.0,39.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,45.0,23.0,20.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,304.0,45.0,0.0,23.02,23.02,24.54,23.7
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.6,35.0,24.0,2.0,1.0,259.0,39.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,46.0,24.0,21.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,306.0,46.0,0.0,23.24,23.26,24.76,23.9
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.61,36.0,24.0,2.0,1.0,262.0,39.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,47.0,25.0,21.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,308.0,47.0,0.0,23.44,23.44,25.0,24.1
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.62,36.0,24.0,2.0,1.0,264.0,40.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,48.0,25.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,311.0,48.0,0.0,23.62,23.62,25.2476,24.3
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.63,36.0,24.0,2.0,1.0,266.0,40.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,48.0,26.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,313.0,48.0,0.0,23.86,23.88,25.5,24.48
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.64,36.0,24.0,2.0,1.0,268.0,41.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,49.0,26.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,314.0,49.0,0.0,24.1,24.12,25.76,24.7
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.65,37.0,24.0,2.0,1.0,270.0,41.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0,50.0,27.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,316.0,50.0,0.0,24.32,24.34,26.04,24.94
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.66,37.0,24.0,2.0,1.0,272.0,41.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,51.0,28.0,24.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,318.0,51.0,0.0,24.56,24.58,26.32,25.18
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.67,37.0,25.0,2.0,1.0,274.0,42.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,51.0,28.0,24.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,321.0,52.0,0.0,24.82,24.8266,26.5866,25.42
